Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
people,possible,effect,human,body,time,science,universe,light,earth,brain,covid,energy
sound,star,high,animal,water,work,question,mass,speed,water,good,vaccine,produce
eye,planet,increase,live,happen,space,find,energy,fast,moon,sleep,virus,heat
look,create,cause,specie,food,black_hole,help,matter,move,sun,bad,19,use
light,like,level,evolve,eat,look_like,study,particle,travel,happen,smell,cell,air
color,system,man,like,feel,travel,scientist,know,speed_light,planet,like,people,plant
different,build,vs,evolution,cold,measure,research,exist,far,gravity,cause,test,gas
hear,material,affect,dog,day,experiment,know,atom,experience,surface,dream,disease,element
like,life,impact,body,drink,slow,think,number,go,object,person,child,power
thing,form,climate_change,dna,like,explain,problem,black_hole,car,orbit,feel,hair,oxygen
black,technology,low,different,temperature,end,life,theory,close,ocean,body,know,fire
see,happen,woman,survive,skin,happen,want,electron,object,fall,happen,cancer,electricity
white,earth,long_term,long,hot,image,scientific,wave,fly,space,memory,old,battery
cause,use,difference,know,long,video,need,mean,happen,mar,thing,get,create
blue,exist,rate,organism,die,inside,answer,light,able,atmosphere,wake,new,tree
