Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15
people,possible,level,human,body,work,time,light,experience,earth,brain,know,air,question,water,covid
eye,create,high,animal,happen,black_hole,space,energy,speed_light,sun,good,cell,energy,science,color,vaccine
sound,star,man,live,feel,look_like,universe,mass,move,planet,sleep,find,heat,help,light,virus
look,system,increase,specie,food,explain,travel,matter,far,moon,smell,new,temperature,study,liquid,effect
hear,like,difference,evolve,eat,end,exist,particle,close,happen,bad,grow,produce,research,glass,cause
person,life,woman,like,day,measure,fast,atom,face,gravity,function,element,power,world,white,test
like,planet,vs,evolution,cold,19,speed,electron,limit,object,like,old,oxygen,think,black,disease
thing,build,cause,survive,like,time,dream,wave,light,orbit,computer,hair,gas,find,metal,19
different,technology,effect,dog,drink,image,expand,photon,slow,ocean,memory,cancer,use,climate_change,blue,blood
cause,material,low,dna,long,inside,night,number,near,surface,wake,age,car,answer,turn,drug
come,use,use,different,die,theory,point,gravity,appear,fall,well,year,plant,impact,radiation,alcohol
make,future,current,long,skin,volume,big_bang,force,death,like,learn,form,fire,scientist,like,chemical
don_t,able,protein,baby,hand,real,stop,object,speed,atmosphere,use,like,run,scientific,red,dangerous
certain,device,affect,know,hot,country,slow,black_hole,fly,space,control,language,cool,ask,colour,effective
talk,destroy,rate,gene,get,picture,know,know,object,long,work,discover,pressure,good,molecule,reaction
