Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21
study,level,different,form,run,number,people,brain,time,human,element,space,life,earth,covid,body,water,universe,light,energy,year,work
scientist,plant,cell,explain,hard,calculate,know,question,gravity,animal,atom,oxygen,live,planet,vaccine,food,temperature,exist,fast,mass,world,eye
research,use,person,physics,weight,100,think,smell,sleep,specie,material,atmosphere,survive,sun,virus,eat,cold,black_hole,speed,particle,safe,color
find,effect,dna,term,muscle,10,thing,real,day,evolve,shape,gas,bacteria,moon,19,blood,heat,theory,sound,electron,area,light
science,science,child,wave,happen,set,like,problem,force,die,face,possible,environment,star,people,human,air,matter,travel,power,tree,cause
datum,technology,possible,like,room,system,feel,taste,age,evolution,molecule,experiment,climate_change,happen,disease,happen,hot,man,move,photon,condition,computer
language,dangerous,people,land,foot,base,don_t,memory,strong,like,structure,mar,dog,object,cause,drink,liquid,possible,object,measure,long,skin
learn,long_term,genetic,cloud,cut,value,good,chemical,happen,insect,possible,send,hand,orbit,test,alcohol,pressure,big_bang,speed_light,electricity,happen,black
new,lead,baby,scale,exercise,train,ve,control,dream,long,magnet,machine,long,close,cancer,healthy,ocean,battery,slow,produce,need,white
country,health,grow,influence,drive,equation,question,benefit,experience,mammal,metal,rocket,city,surface,infection,like,cool,infinite,car,charge,important,look
accurate,build,gene,random,arm,average,tell,bird,long,population,line,co2,antibiotic,fall,effect,long,happen,woman,limit,state,month,turn
kill,protein,parent,rock,open,increase,find,like,hole,large,picture,fuel,deal,like,death,consume,ice,know,hear,field,flu,image
issue,high,organism,understand,tooth,factor,old,music,wake,possible,create,vacuum,like,galaxy,covid_vaccine,fat,warm,male,possible,create,cover,blue
paper,effective,bear,quantum,finger,give,read,happen,night,know,property,happen,necessary,distance,get,sick,drink,create,fly,use,leg,hair
scientific,method,affect,simple,smoke,high,want,ability,fire,develop,stick,burn,period,solar_system,coronavirus,mouth,freeze,expand,ball,source,like,red
