Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
people,earth,effect,human,water,time,covid,light
cause,planet,use,animal,body,fast,science,energy
eye,sun,high,body,happen,speed,vaccine,universe
like,moon,increase,brain,temperature,space,question,black_hole
look,happen,cause,specie,food,travel,virus,mass
color,possible,level,like,eat,object,19,know
person,star,work,live,cold,work,help,matter
light,like,affect,evolve,air,move,people,particle
sound,life,difference,possible,heat,slow,find,exist
thing,orbit,climate_change,cell,feel,possible,know,gravity
hear,atmosphere,impact,know,like,speed_light,good,atom
different,space,produce,plant,drink,happen,study,possible
feel,surface,possible,evolution,hot,go,like,theory
brain,mar,low,dna,liquid,long,work,mean
car,big,power,different,long,measure,sleep,electron
