Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
earth,human,happen,time,water,work,possible,people,light,body
moon,animal,black_hole,space,drink,actually,create,like,speed,effect
planet,evolve,brain,travel,cold,exactly,universe,know,black_hole,temperature
sun,specie,actually,universe,hot,space,planet,cause,fast,long
gravity,evolution,exactly,long,temperature,gravity,use,covid,object,affect
orbit,brain,die,slow,air,explain,exist,thing,energy,cell
life,long,person,exist,ocean,way,energy,different,travel,energy
affect,eye,go,fast,freeze,energy,black_hole,don_t,mass,feel
atmosphere,survive,space,speed,ice,vaccine,life,feel,universe,food
space,live,get,gravity,liquid,brain,star,19,speed_light,heat
effect,like,inside,stop,heat,stop,actually,question,travel_speed,hair
surface,dog,suddenly,experience,pressure,magnet,way,brain,star,eat
star,able,collide,question,fast,help,build,vaccine,gravity,sleep
mar,different,big_bang,speed_light,warm,well,person,come,photon,fat
rotation,way,universe,change,need,doesn_t,small,think,eye,person
