Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21
time,human,happen,work,water,earth,possible,people,light,body,space,question,cause,universe,like,animal,covid,know,brain,energy,long,black_hole
travel,evolve,actually,actually,drink,moon,create,don_t,speed,temperature,object,help,effect,exist,feel,specie,19,don_t,different,come,live,mass
slow,specie,exactly,exactly,cold,planet,planet,think,fast,effect,travel,science,cancer,big_bang,thing,plant,vaccine,science,affect,use,survive,gravity
fast,evolution,die,gravity,hot,sun,use,die,travel,cell,expand,physics,change,theory,sound,evolve,virus,way,way,create,person,star
speed,eye,go,explain,temperature,orbit,actually,look,object,affect,gravity,answer,damage,thing,smell,eat,effect,need,difference,heat,eat,event_horizon
stop,survive,person,way,ocean,life,exist,different,travel_speed,feel,move,ask,exactly,matter,planet,large,19_vaccine,find,change,mass,food,object
experience,live,get,vaccine,freeze,gravity,travel,sleep,eye,food,vacuum,relate,actually,expand,don_t,different,test,scientist,effect,matter,day,inside
change,able,suddenly,stop,air,atmosphere,life,make,speed_light,hair,atom,think,death,end,good,don_t,get,actually,thing,produce,die,matter
gravity,dog,stop,magnet,ice,affect,build,science,fast_speed,eat,astronaut,theory,climate_change,life,taste,way,case,exist,color,photon,need,fall
day,average,eat,well,liquid,effect,way,old,wave,fat,sound,evolution,increase,big,food,small,disease,thing,person,need,sleep,form
speed_light,develop,collide,help,fast,surface,person,come,color,sleep,rocket,chemistry,pain,infinite,actually,dog,help,planet,eye,electron,take,create
exist,need,big_bang,doesn_t,pressure,mar,star,live,sound,heat,point,explain,disease,heat_death,dog,insect,immunity,star,memory,source,year,affect
relative,mammal,inside,science,warm,rotation,physically,well,photon,blood,air,find,high,mean,cold,food,long_term,think,sound,high,stay,small
go,modern,hit,time_dilation,heat,change,future,actually,slow,cold,matter,biology,gravity,size,come,land,symptom,come,sleep,form,run,singularity
pass,population,world,system,glass,star,virus,certain,blue,inside,speed,speed_light,problem,center,make,big,effective,cell,think,power,able,collide
