Topic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,human,animal,specie,evolve,brain,evolution,long,live,dog,survive,eye,able,way,evolutionary,life
1,light,speed,travel,fast,object,move,sound,year,slow,away,wave,photon,reach,visible,eye
2,earth,moon,sun,orbit,gravity,atmosphere,life,rotation,year,surface,long,mar,affect,away,asteroid
3,black,hole,mass,horizon,event,matter,star,white,escape,singularity,inside,gravity,fall,radiation,hawk
4,water,drink,cold,hot,temperature,ice,air,ocean,boil,salt,freeze,liquid,bottle,heat,pressure
5,covid,vaccine,long,virus,effect,get,test,term,mrna,work,immunity,flu,infection,disease,new
6,happen,brain,actually,suddenly,person,stop,get,exactly,die,disappear,hit,inside,world,collide,turn
7,time,travel,long,dilation,slow,period,experience,day,sleep,stop,fast,relative,dimension,short,pass
8,like,look,feel,thing,eye,sound,animal,smell,don,actually,world,know,dog,taste,sky
9,possible,create,theoretically,brain,use,life,person,cell,build,exist,future,actually,power,technology,dna
10,body,temperature,feel,cell,food,hair,sleep,blood,eat,fat,long,part,grow,effect,affect
11,universe,know,big,expand,bang,theory,exist,matter,year,infinite,expansion,observable,billion,galaxy,mean
12,people,different,brain,don,thing,sleep,think,food,way,eye,smell,cause,make,feel,good
13,change,climate,cause,effect,color,global,temperature,affect,warming,level,world,way,increase,year,impact
14,space,energy,object,work,gravity,matter,mass,use,create,heat,dark,force,vacuum,wave,nuclear
15,planet,system,solar,star,orbit,sun,life,moon,immune,different,galaxy,form,gas,size,large
